Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
answerdotai/ModernBERT-base,_cls-1,0,"{'devacc': np.float64(66.39), 'acc': np.float64(65.53), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(65.56), 'acc': np.float64(65.32), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(85.1), 'acc': np.float64(83.35), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(69.36), 'acc': np.float64(68.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(73.97), 'acc': 72.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(36.88), 'acc': 34.07, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(53.39), 'acc': 58.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.81), 'acc': 66.43, 'f1': 79.83, 'ndev': 4076, 'ntest': 1725}"
answerdotai/ModernBERT-base,_mean-1,0,"{'devacc': np.float64(74.77), 'acc': np.float64(74.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(71.66), 'acc': np.float64(71.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.58), 'acc': np.float64(90.11), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.43), 'acc': np.float64(85.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.96), 'acc': 80.78, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.14), 'acc': 40.14, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.07), 'acc': 79.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.68), 'acc': 71.25, 'f1': 79.26, 'ndev': 4076, 'ntest': 1725}"
answerdotai/ModernBERT-base,_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(75.07), 'acc': np.float64(74.27), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(73.22), 'acc': np.float64(72.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.59), 'acc': np.float64(89.98), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.03), 'acc': np.float64(85.83), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.08), 'acc': 79.96, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.05), 'acc': 39.82, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.42), 'acc': 80.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.18), 'acc': 70.67, 'f1': 80.08, 'ndev': 4076, 'ntest': 1725}"
answerdotai/ModernBERT-base,_concat_cls_with_mean-1,0,"{'devacc': np.float64(74.53), 'acc': np.float64(73.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(75.85), 'acc': np.float64(74.41), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.94), 'acc': np.float64(90.19), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.78), 'acc': np.float64(84.43), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.31), 'acc': 81.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.32), 'acc': 38.91, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(76.32), 'acc': 77.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.88), 'acc': 71.13, 'f1': 78.83, 'ndev': 4076, 'ntest': 1725}"
answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(74.65), 'acc': np.float64(73.67), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.03), 'acc': np.float64(75.74), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.03), 'acc': np.float64(90.31), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.87), 'acc': np.float64(85.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.85), 'acc': 80.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.51), 'acc': 39.82, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(76.89), 'acc': 81.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.61), 'acc': 69.86, 'f1': 77.11, 'ndev': 4076, 'ntest': 1725}"
answerdotai/ModernBERT-base,_concat_mean_3_tokens-1,0,"{'devacc': np.float64(75.23), 'acc': np.float64(74.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.2), 'acc': np.float64(76.98), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.54), 'acc': np.float64(90.86), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.67), 'acc': np.float64(85.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(78.56), 'acc': 78.36, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.42), 'acc': 40.59, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.35), 'acc': 83.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.78), 'acc': 65.62, 'f1': 74.86, 'ndev': 4076, 'ntest': 1725}"
answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(75.13), 'acc': np.float64(74.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.52), 'acc': np.float64(77.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.53), 'acc': np.float64(90.76), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.17), 'acc': np.float64(85.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(78.21), 'acc': 78.91, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.69), 'acc': 39.91, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.07), 'acc': 82.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.85), 'acc': 65.39, 'f1': 74.5, 'ndev': 4076, 'ntest': 1725}"
answerdotai/ModernBERT-base,_concat_mean_5_tokens-1,0,"{'devacc': np.float64(74.69), 'acc': np.float64(74.06), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.48), 'acc': np.float64(77.88), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.97), 'acc': np.float64(91.7), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.56), 'acc': np.float64(85.39), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(78.78), 'acc': 78.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.24), 'acc': 39.64, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.15), 'acc': 82.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.49), 'acc': 69.74, 'f1': 80.09, 'ndev': 4076, 'ntest': 1725}"
answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(74.56), 'acc': np.float64(73.64), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.04), 'acc': np.float64(77.22), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.77), 'acc': np.float64(91.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.52), 'acc': 78.25, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.51), 'acc': 38.87, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.04), 'acc': 84.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.88), 'acc': 65.39, 'f1': 74.88, 'ndev': 4076, 'ntest': 1725}"
answerdotai/ModernBERT-base,_cls-2,0,"{'devacc': np.float64(67.29), 'acc': np.float64(65.9), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(66.9), 'acc': np.float64(65.72), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(87.39), 'acc': np.float64(86.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(75.43), 'acc': np.float64(75.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.69), 'acc': 74.68, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(36.33), 'acc': 34.71, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(64.76), 'acc': 66.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.52), 'acc': 65.74, 'f1': 76.48, 'ndev': 4076, 'ntest': 1725}"
